Title,NSSBusinessStream,NSSBusinessUnit,NSSReportingUnit
DP&BS Business Stream Facilities Management Facilities Management,S060-Workplace Services,B063-Facilities Management,DP&BS Business Stream Facilities Management Facilities Management
DP&BS Business Stream Facilities Management PFI (Private Finance Initiative),S060-Workplace Services,B063-Facilities Management,DP&BS Business Stream Facilities Management PFI (Private Finance Initiative)
DP&BS Facilities Management - Operations FM - NHS BSA,S060-Workplace Services,B063-Facilities Management,DP&BS Facilities Management - Operations FM - NHS BSA
DP&BS Facilities Management - Operations FM - Norwood Care Homes,S060-Workplace Services,B063-Facilities Management,DP&BS Facilities Management - Operations FM - Norwood Care Homes
DP&BS Facilities Management - Operations FM - Norwood Care Homes,S060-Workplace Services,B063-Facilities Management,DP&BS Facilities Management - Operations FM - Norwood Care Homes
DP&BS Facilities Management - Staffordshire Police OPCC,S060-Workplace Services,B063-Facilities Management,DP&BS Facilities Management - Staffordshire Police OPCC
DP&BS Facilities Management - Westminster Kingsway College IC,S060-Workplace Services,B063-Facilities Management,DP&BS Facilities Management - Westminster Kingsway College IC
DP&BS Facilities Management Corporate Estate - Sapphire House,S060-Workplace Services,B063-Facilities Management,DP&BS Facilities Management Corporate Estate - Sapphire House
DP&BS Workplace Services - Corporate Estate,S060-Workplace Services,B063-Facilities Management,DP&BS Workplace Services - Corporate Estate
DP&BS Workplace Services FM - FM - BSF - Lewisham,S060-Workplace Services,B063-Facilities Management,DP&BS Workplace Services FM - FM - BSF - Lewisham
DP&BS Workplace Services FM - FM - Epsom & Ewell,S060-Workplace Services,B063-Facilities Management,DP&BS Workplace Services FM - FM - Epsom & Ewell
DP&BS Workplace Services FM - FM - LB Camden,S060-Workplace Services,B063-Facilities Management,DP&BS Workplace Services FM - FM - LB Camden
DP&BS Workplace Services FM - FM - London - Jewish Care,S060-Workplace Services,B063-Facilities Management,DP&BS Workplace Services FM - FM - London - Jewish Care
DP&BS Workplace Services FM - FM - London Westminster Kingsway College,S060-Workplace Services,B063-Facilities Management,DP&BS Workplace Services FM - FM - London Westminster Kingsway College
DP&BS Workplace Services FM - FM - Mgmt.& Overheads,S060-Workplace Services,B063-Facilities Management,DP&BS Workplace Services FM - FM - Mgmt.& Overheads
DP&BS Workplace Services FM - FM - Norwood Care Homes,S060-Workplace Services,B063-Facilities Management,DP&BS Workplace Services FM - FM - Norwood Care Homes
DP&BS Workplace Services FM - FM - Powys CC - Cleaning Services,S060-Workplace Services,B063-Facilities Management,DP&BS Workplace Services FM - FM - Powys CC - Cleaning Services
DP&BS Workplace Services FM - FM - Powys Schools,S060-Workplace Services,B063-Facilities Management,DP&BS Workplace Services FM - FM - Powys Schools
DP&BS Workplace Services FM - FM - Royal Opera House Main,S060-Workplace Services,B063-Facilities Management,DP&BS Workplace Services FM - FM - Royal Opera House Main
DP&BS Workplace Services FM - FM - SCC Manor Lane,S060-Workplace Services,B063-Facilities Management,DP&BS Workplace Services FM - FM - SCC Manor Lane
DP&BS Workplace Services FM - FM - Sheffield Kaps,S060-Workplace Services,B063-Facilities Management,DP&BS Workplace Services FM - FM - Sheffield Kaps
DP&BS Workplace Services FM - FM - Staffordshire Police OPCC,S060-Workplace Services,B063-Facilities Management,DP&BS Workplace Services FM - FM - Staffordshire Police OPCC
DP&BS Workplace Services FM - KCC - TFM1,S060-Workplace Services,B063-Facilities Management,DP&BS Workplace Services FM - KCC - TFM1
DP&BS Workplace Services FM - KCC - TFM4,S060-Workplace Services,B063-Facilities Management,DP&BS Workplace Services FM - KCC - TFM4
DP&BS Workplace Services FM - Legal & General,S060-Workplace Services,B063-Facilities Management,DP&BS Workplace Services FM - Legal & General
DP&BS Workplace Services FM - PFI - Bexley Schools PFI,S060-Workplace Services,B063-Facilities Management,DP&BS Workplace Services FM - PFI - Bexley Schools PFI
DP&BS Workplace Services FM - PFI - Brighton Library,S060-Workplace Services,B063-Facilities Management,DP&BS Workplace Services FM - PFI - Brighton Library
DP&BS Workplace Services FM - PFI - Copeland,S060-Workplace Services,B063-Facilities Management,DP&BS Workplace Services FM - PFI - Copeland
DP&BS Workplace Services FM - PFI - Harrow Schools PFI,S060-Workplace Services,B063-Facilities Management,DP&BS Workplace Services FM - PFI - Harrow Schools PFI
DP&BS Workplace Services FM - PFI - Hinchinbrooke PFI,S060-Workplace Services,B063-Facilities Management,DP&BS Workplace Services FM - PFI - Hinchinbrooke PFI
DP&BS Workplace Services FM - PFI - Ipswich NHS,S060-Workplace Services,B063-Facilities Management,DP&BS Workplace Services FM - PFI - Ipswich NHS
DP&BS Workplace Services FM - PFI - London - Kent Schools PFI,S060-Workplace Services,B063-Facilities Management,DP&BS Workplace Services FM - PFI - London - Kent Schools PFI
DP&BS Workplace Services FM - PFI - London Fire & Rescue Authority,S060-Workplace Services,B063-Facilities Management,DP&BS Workplace Services FM - PFI - London Fire & Rescue Authority
DP&BS Workplace Services FM - PFI - Neath Hospital PFI,S060-Workplace Services,B063-Facilities Management,DP&BS Workplace Services FM - PFI - Neath Hospital PFI
DP&BS Workplace Services FM - PFI - NHS Lift,S060-Workplace Services,B063-Facilities Management,DP&BS Workplace Services FM - PFI - NHS Lift
DP&BS Workplace Services FM - PFI - Norwich Schools PFI,S060-Workplace Services,B063-Facilities Management,DP&BS Workplace Services FM - PFI - Norwich Schools PFI
DP&BS Workplace Services FM - PFI - Oldham Library,S060-Workplace Services,B063-Facilities Management,DP&BS Workplace Services FM - PFI - Oldham Library
DP&BS Workplace Services FM - PFI - Oldham Schools,S060-Workplace Services,B063-Facilities Management,DP&BS Workplace Services FM - PFI - Oldham Schools
DP&BS Workplace Services FM - PFI - Operations PFI,S060-Workplace Services,B063-Facilities Management,DP&BS Workplace Services FM - PFI - Operations PFI
DP&BS Workplace Services FM - PFI - Pembroke PFI,S060-Workplace Services,B063-Facilities Management,DP&BS Workplace Services FM - PFI - Pembroke PFI
DP&BS Workplace Services FM - PFI - Plymouth NHS,S060-Workplace Services,B063-Facilities Management,DP&BS Workplace Services FM - PFI - Plymouth NHS
DP&BS Workplace Services FM - PFI - Sheffield Schools,S060-Workplace Services,B063-Facilities Management,DP&BS Workplace Services FM - PFI - Sheffield Schools
DP&BS Workplace Services FM - PFI - St Helens Lift,S060-Workplace Services,B063-Facilities Management,DP&BS Workplace Services FM - PFI - St Helens Lift
DP&BS Workplace Services FM - PFI - Stoke & Staffs Fire Rescue Authority PFI,S060-Workplace Services,B063-Facilities Management,DP&BS Workplace Services FM - PFI - Stoke & Staffs Fire Rescue Authority PFI
DP&BS Workplace Services FM - PFI - Tendring Schools PFI,S060-Workplace Services,B063-Facilities Management,DP&BS Workplace Services FM - PFI - Tendring Schools PFI
DP&BS Workplace Services FM - PFI - Waltham Forest PFI,S060-Workplace Services,B063-Facilities Management,DP&BS Workplace Services FM - PFI - Waltham Forest PFI
1032-Overheads & Central - KBS,S060-Workplace Services,B064-KWS Centre,1032-Overheads & Central - KBS
1287-KWS Centre,S060-Workplace Services,B064-KWS Centre,1287-KWS Centre
DP&BS Business Stream Facilities Management Asset Management,S060-Workplace Services,B064-KWS Centre,DP&BS Business Stream Facilities Management Asset Management
DP&BS Business Stream Facilities Management Business Development,S060-Workplace Services,B064-KWS Centre,DP&BS Business Stream Facilities Management Business Development
DP&BS Business Stream Facilities Management Commercial,S060-Workplace Services,B064-KWS Centre,DP&BS Business Stream Facilities Management Commercial
DP&BS Business Stream Facilities Management Corporate Estate,S060-Workplace Services,B064-KWS Centre,DP&BS Business Stream Facilities Management Corporate Estate
DP&BS Business Stream Facilities Management Health and Safety,S060-Workplace Services,B064-KWS Centre,DP&BS Business Stream Facilities Management Health and Safety
DP&BS Business Stream Facilities Management Overhead,S060-Workplace Services,B064-KWS Centre,DP&BS Business Stream Facilities Management Overhead
DP&BS Business Stream Facilities ManagementFinance,S060-Workplace Services,B064-KWS Centre,DP&BS Business Stream Facilities ManagementFinance
DP&BS Workplace Services Mgmt. & Overheads - Commercial,S060-Workplace Services,B064-KWS Centre,DP&BS Workplace Services Mgmt. & Overheads - Commercial
DP&BS Workplace Services Mgmt. & Overheads - Finance,S060-Workplace Services,B064-KWS Centre,DP&BS Workplace Services Mgmt. & Overheads - Finance
DP&BS Workplace Services Mgmt. & Overheads - Mgmt. & Overheads,S060-Workplace Services,B064-KWS Centre,DP&BS Workplace Services Mgmt. & Overheads - Mgmt. & Overheads
DP&BS Workplace Services Sales & Marketing - Business Development,S060-Workplace Services,B064-KWS Centre,DP&BS Workplace Services Sales & Marketing - Business Development
DP&BS Workplace Services SHEA - Business Assurance,S060-Workplace Services,B064-KWS Centre,DP&BS Workplace Services SHEA - Business Assurance
DP&BS Workplace Services SHEA - Mobilisation,S060-Workplace Services,B064-KWS Centre,DP&BS Workplace Services SHEA - Mobilisation
1034-Project Services - KBS,S060-Workplace Services,B080-Design and Business Services,1034-Project Services - KBS
1283-Kier Asset Partnership Services Ltd,S060-Workplace Services,B080-Design and Business Services,1283-Kier Asset Partnership Services Ltd
1440-Hackney Schools for the Future,S060-Workplace Services,B080-Design and Business Services,1440-Hackney Schools for the Future
1446-Business Process & Transformation - KBS,S060-Workplace Services,B080-Design and Business Services,1446-Business Process & Transformation - KBS
DP&BS Workplace Services Asset Management - Chesterfield Borough Council,S060-Workplace Services,B080-Design and Business Services,DP&BS Workplace Services Asset Management - Chesterfield Borough Council
DP&BS Workplace Services Asset Management - Sheffield Kaps,S060-Workplace Services,B080-Design and Business Services,DP&BS Workplace Services Asset Management - Sheffield Kaps
1001-Living Northern,S083-Living,B085-Living Northern,1001-Living Northern
DP&BS Residential Living Northern,S083-Living,B085-Living Northern,DP&BS Residential Living Northern
1003-Living South West,S083-Living,B086-Living South West,1003-Living South West
DP&BS Residential Living South West & Wales South West & Wales,S083-Living,B086-Living South West,DP&BS Residential Living South West & Wales South West & Wales
1005-Living Eastern,S083-Living,B087-Living Eastern,1005-Living Eastern
DP&BS Residential Living Eastern Eastern,S083-Living,B087-Living Eastern,DP&BS Residential Living Eastern Eastern
1007-Living Central,S083-Living,B088-Living Central,1007-Living Central
DP&BS Residential Living Central Central,S083-Living,B088-Living Central,DP&BS Residential Living Central Central
1009-Living Centre,S083-Living,B089-Living Centre,1009-Living Centre
DP&BS Residential Living Mgmt & Overheads Mgmt & Overheads,S083-Living,B089-Living Centre,DP&BS Residential Living Mgmt & Overheads Mgmt & Overheads
1298-Kier Fleet Services Ltd,S091-Group Centre,B040-Fleet,1298-Kier Fleet Services Ltd
CF Fleet Fleet,S091-Group Centre,B040-Fleet,CF Fleet Fleet
1028-Kier Limited - IT Functions,S091-Group Centre,B098-Group Centre,1028-Kier Limited - IT Functions
1029-Kier Limited - Group Functions,S091-Group Centre,B098-Group Centre,1029-Kier Limited - Group Functions
CF BOOST BOOST,S091-Group Centre,B098-Group Centre,CF BOOST BOOST
CF Co. Sec / Legal Company Secretarial,S091-Group Centre,B098-Group Centre,CF Co. Sec / Legal Company Secretarial
CF Commercial Commercial,S091-Group Centre,B098-Group Centre,CF Commercial Commercial
CF Corporate Responsibility Corporate Responsibility,S091-Group Centre,B098-Group Centre,CF Corporate Responsibility Corporate Responsibility
CF Finance Finance & Admin,S091-Group Centre,B098-Group Centre,CF Finance Finance & Admin
CF HR askHR,S091-Group Centre,B098-Group Centre,CF HR askHR
CF HR Occupational Health,S091-Group Centre,B098-Group Centre,CF HR Occupational Health
CF HR Pensions and Reward,S091-Group Centre,B098-Group Centre,CF HR Pensions and Reward
CF HR Training,S091-Group Centre,B098-Group Centre,CF HR Training
"CF IT Development, Property & Business Services",S091-Group Centre,B098-Group Centre,"CF IT Development, Property & Business Services"
CF IT Engagement & Communication,S091-Group Centre,B098-Group Centre,CF IT Engagement & Communication
CF IT Infrastructure,S091-Group Centre,B098-Group Centre,CF IT Infrastructure
CF IT Operations,S091-Group Centre,B098-Group Centre,CF IT Operations
"CF IT Property, Living & Group",S091-Group Centre,B098-Group Centre,"CF IT Property, Living & Group"
CF IT Service Delivery,S091-Group Centre,B098-Group Centre,CF IT Service Delivery
CF IT Services & Environmental,S091-Group Centre,B098-Group Centre,CF IT Services & Environmental
CF IT Solution Delivery,S091-Group Centre,B098-Group Centre,CF IT Solution Delivery
CF IT Systems,S091-Group Centre,B098-Group Centre,CF IT Systems
CF Marketing & Comms Comms,S091-Group Centre,B098-Group Centre,CF Marketing & Comms Comms
CF Marketing & Comms Marketing,S091-Group Centre,B098-Group Centre,CF Marketing & Comms Marketing
CF Performance Performance,S091-Group Centre,B098-Group Centre,CF Performance Performance
CF Procurement Procurement,S091-Group Centre,B098-Group Centre,CF Procurement Procurement
CF SHEA Safety,S091-Group Centre,B098-Group Centre,CF SHEA Safety
Corporate Functions Finance SSC,S091-Group Centre,B098-Group Centre,Corporate Functions Finance SSC
1142-KPD Centre,S100-Property,B103-Property Developments  Centre,1142-KPD Centre
DP&BS Property North Property North,S100-Property,B103-Property Developments  Centre,DP&BS Property North Property North
DP&BS Property South Property South,S100-Property,B103-Property Developments  Centre,DP&BS Property South Property South
7001-KPD South,S100-Property,B105-KPD South,7001-KPD South
1273-Kier Environmental Services,S111-Environmental,B077-Environmental,1273-Kier Environmental Services
1301-Pure Recycling Warwick Ltd,S111-Environmental,B077-Environmental,1301-Pure Recycling Warwick Ltd
1355-KIS Environmental Services,S111-Environmental,B077-Environmental,1355-KIS Environmental Services
1373-Recycling CIC,S111-Environmental,B077-Environmental,1373-Recycling CIC
S&CD Business Stream Environmental Environmental - Centre,S111-Environmental,B077-Environmental,S&CD Business Stream Environmental Environmental - Centre
S&CD Strategic Projects Environmental Environmental Central - Cheshire West & Chester,S111-Environmental,B077-Environmental,S&CD Strategic Projects Environmental Environmental Central - Cheshire West & Chester
S&CD Strategic Projects Environmental Environmental Central - Corby Borough Council,S111-Environmental,B077-Environmental,S&CD Strategic Projects Environmental Environmental Central - Corby Borough Council
S&CD Strategic Projects Environmental Environmental Central - East Northants,S111-Environmental,B077-Environmental,S&CD Strategic Projects Environmental Environmental Central - East Northants
S&CD Strategic Projects Environmental Environmental Central - North Yorkshire CC,S111-Environmental,B077-Environmental,S&CD Strategic Projects Environmental Environmental Central - North Yorkshire CC
S&CD Strategic Projects Environmental Environmental Central - Pure Recycling,S111-Environmental,B077-Environmental,S&CD Strategic Projects Environmental Environmental Central - Pure Recycling
S&CD Strategic Projects Environmental Environmental Central - West Oxfordshire DC,S111-Environmental,B077-Environmental,S&CD Strategic Projects Environmental Environmental Central - West Oxfordshire DC
S&CD Strategic Projects Environmental Environmental East  - East Sussex Waste Partnership,S111-Environmental,B077-Environmental,S&CD Strategic Projects Environmental Environmental East  - East Sussex Waste Partnership
S&CD Strategic Projects Environmental Environmental East - Grounds Maintenance Division (Bexley),S111-Environmental,B077-Environmental,S&CD Strategic Projects Environmental Environmental East - Grounds Maintenance Division (Bexley)
S&CD Strategic Projects Environmental Environmental East - London Borough of Bromley,S111-Environmental,B077-Environmental,S&CD Strategic Projects Environmental Environmental East - London Borough of Bromley
S&CD Strategic Projects Environmental Environmental East - London Borough of Waltham Forest,S111-Environmental,B077-Environmental,S&CD Strategic Projects Environmental Environmental East - London Borough of Waltham Forest
S&CD Strategic Projects Environmental Environmental East - North Norfolk,S111-Environmental,B077-Environmental,S&CD Strategic Projects Environmental Environmental East - North Norfolk
S&CD Strategic Projects Environmental Environmental East - West Norfolk & Kings Lynn,S111-Environmental,B077-Environmental,S&CD Strategic Projects Environmental Environmental East - West Norfolk & Kings Lynn
S&CD Strategic Projects Environmental Environmental West - Bath & North East Somerset,S111-Environmental,B077-Environmental,S&CD Strategic Projects Environmental Environmental West - Bath & North East Somerset
S&CD Strategic Projects Environmental Environmental West - Bridgend County Borough Council,S111-Environmental,B077-Environmental,S&CD Strategic Projects Environmental Environmental West - Bridgend County Borough Council
S&CD Strategic Projects Environmental Environmental West - Gloucester CC,S111-Environmental,B077-Environmental,S&CD Strategic Projects Environmental Environmental West - Gloucester CC
S&CD Strategic Projects Environmental Environmental West - North Somerset,S111-Environmental,B077-Environmental,S&CD Strategic Projects Environmental Environmental West - North Somerset
S&CD Strategic Projects Environmental Environmental West - Somerset Waste Partnership,S111-Environmental,B077-Environmental,S&CD Strategic Projects Environmental Environmental West - Somerset Waste Partnership
1039-Kier Build Ltd,S113-Construction,B006-Construction Centre,1039-Kier Build Ltd
1245-Kier Graham Defence Ltd,S113-Construction,B056-Kier Graham Defence Ltd,1245-Kier Graham Defence Ltd
1438-P22 Framework,S113-Construction,B078-P22 Framework,1438-P22 Framework
1210-Build Strategic Alliances,S113-Construction,B079-Build Strategic Alliances,1210-Build Strategic Alliances
1095-ClearBOX Ltd,S113-Construction,B081-ClearBOX,1095-ClearBOX Ltd
C&IS Building UK ClearBox ClearBox,S113-Construction,B081-ClearBOX,C&IS Building UK ClearBox ClearBox
Corporate Functions - Strategy & Corporate Development,S114-Strategy Centre,B116-Strategy Centre,Corporate Functions - Strategy & Corporate Development
1059-Mining UK,S134-Mining,B026-Mining,1059-Mining UK
